x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-11.9000E-03,+1.5062761E+00,+0.0E+00,-251.0458E-03,-14.9873E-03
-11.8900E-03,+1.4922409E+00,+0.0E+00,+137.7060E-03,-8.5949E-03
-11.8800E-03,+1.4954756E+00,+43.2021E-03,-704.4912E-03,-6.1768E-03
-11.8700E-03,+1.5062761E+00,-58.2917E-03,-207.7762E-03,-12.9564E-03
-11.8600E-03,+1.5062761E+00,-12.9471E-03,-251.0458E-03,-9.6313E-03
-11.8500E-03,+1.4911655E+00,-36.7244E-03,+116.1977E-03,-9.7167E-03
-11.8400E-03,+1.5202987E+00,+0.0E+00,-445.5483E-03,-6.6946E-03
-11.8300E-03,+1.5062761E+00,+0.0E+00,-251.0458E-03,-8.0770E-03
-11.8200E-03,+1.5321999E+00,+0.0E+00,-402.0256E-03,-6.9965E-03
-11.8100E-03,+1.5397489E+00,+0.0E+00,-251.0458E-03,-12.6536E-03
-11.8000E-03,+1.4987524E+00,-49.6462E-03,-251.0458E-03,-10.6663E-03
-11.7900E-03,+1.5062761E+00,+0.0E+00,-920.5019E-03,-10.7108E-03
-11.7800E-03,+1.5149005E+00,-49.6968E-03,-78.5578E-03,-10.0213E-03
-11.7700E-03,+1.5224875E+00,-34.5229E-03,+418.4102E-03,-10.7533E-03
-11.7600E-03,+1.5062761E+00,+51.7970E-03,+266.9244E-03,-11.6202E-03
-11.7500E-03,+1.5397489E+00,-64.8201E-03,+397.1550E-03,-12.1352E-03
-11.7400E-03,+1.5062761E+00,+0.0E+00,-251.0458E-03,-9.7604E-03
-11.7300E-03,+1.5397489E+00,-36.6737E-03,+418.4102E-03,-9.0230E-03
-11.7200E-03,+1.5537251E+00,+0.0E+00,-251.0458E-03,-11.7903E-03
-11.7100E-03,+1.5062761E+00,+62.6693E-03,-208.2823E-03,-10.3692E-03
-11.7000E-03,+1.5170513E+00,+0.0E+00,+418.4102E-03,-9.8034E-03
-11.6900E-03,+1.5256884E+00,+0.0E+00,-358.0811E-03,-8.2475E-03
-11.6800E-03,+1.5343254E+00,+0.0E+00,+201.4716E-03,-6.6946E-03
-11.6700E-03,+1.5397489E+00,+0.0E+00,-251.0458E-03,-9.6295E-03
-11.6600E-03,+1.5397489E+00,-43.2443E-03,-251.0458E-03,-13.2228E-03
-11.6500E-03,+1.5192612E+00,+25.9702E-03,+568.4621E-03,-6.6946E-03
-11.6400E-03,+1.4814994E+00,+58.2495E-03,-746.5798E-03,-11.5284E-03
