Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\uz_d_inverter\Project Outputs for UZ_D_Inverter\Rev03\Pick Place\Pick_and_Place_UZ_D_Inverter_Variant_V1_Rev03.csv

========================================================================================================================
File Design Information:

Date:       05.03.24
Time:       09:30
Revision:   bc5aa510ad569fe84eef301ce98e35daac38205f
Variant:    Variant_V1
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"U7C","2EDF7275KXUMA1","79.4600","79.4600","11.3900","11.3900","77.3851","13.3400","270","2EDF7275KXUMA2","TopLayer"
"U7B","2EDF7275KXUMA1","79.4600","79.4600","31.8502","31.8502","77.3850","33.8001","270","2EDF7275KXUMA2","TopLayer"
"U7A","2EDF7275KXUMA1","78.5400","78.5400","51.8502","51.8502","76.4650","53.8002","270","2EDF7275KXUMA2","TopLayer"
"R50","3921","109.0000","109.0000","59.2900","59.2900","104.8500","59.2900","0","2mR","TopLayer"
"R10C","3921","109.0000","109.0000","12.4900","12.4900","104.8500","12.4900","0","2mR","TopLayer"
"R10B","3921","109.0000","109.0000","29.2500","29.2500","104.8500","29.2500","0","2mR","TopLayer"
"R10A","3921","109.0000","109.0000","46.2100","46.2100","104.8500","46.2100","0","2mR","TopLayer"
"J2","634008149821","135.1650","132.6500","84.0000","84.0000","127.6600","80.4300","270","6339160-1","BottomLayer"
"J1","634008149821","135.1650","132.6500","88.6500","88.6500","127.6600","92.2200","90","6339160-1","TopLayer"
"C1","C_0603","1.9000","1.9000","39.0000","39.0000","2.6000","39.0000","180","100 nF","TopLayer"
"C99","C_0603","6.9200","6.9200","53.9700","53.9700","6.9200","53.2700","90","100 nF","TopLayer"
"C10B","C_0603","103.5200","103.5200","22.2200","22.2200","103.5200","21.5200","90","10nF","TopLayer"
"C105","C_0603","103.6400","103.6400","52.2200","52.2200","103.6400","51.5200","90","1 µF","TopLayer"
"C9C","C_0603","105.1200","105.1200","5.4800","5.4800","105.1200","4.7800","90","1 µF","TopLayer"
"C9B","C_0603","105.1200","105.1200","22.2200","22.2200","105.1200","21.5200","90","1 µF","TopLayer"
"C9A","C_0603","103.5200","103.5200","39.1800","39.1800","103.5200","38.4800","90","1 µF","TopLayer"
"C84","C_0603","109.4900","109.4900","69.8800","69.8800","109.4900","69.1800","90","100 nF","TopLayer"
"C83C","C_0603","38.0710","38.0710","4.7200","4.7200","37.3710","4.7200","0","100 nF","BottomLayer"
"C83B","C_0603","46.7200","46.7200","34.3700","34.3700","46.7200","33.6700","90","100 nF","BottomLayer"
"C83A","C_0603","50.3415","50.3415","68.4897","68.4897","50.3415","67.7897","90","100 nF","BottomLayer"
"C82C","C_0603","111.1900","111.1900","3.7100","3.7100","111.1900","3.0100","90","100 nF","TopLayer"
"C82B","C_0603","111.2000","111.2000","20.5300","20.5300","111.2000","19.8300","90","100 nF","TopLayer"
"C82A","C_0603","111.2000","111.2000","37.4900","37.4900","111.2000","36.7900","90","100 nF","TopLayer"
"C80","C_0603","110.5000","110.5000","50.4700","50.4700","109.8000","50.4700","0","100 nF","TopLayer"
"C73C","C_0603","83.0391","83.0390","20.3981","20.3981","83.0390","21.0981","270","100 nF","TopLayer"
"C73B","C_0603","83.0390","83.0390","40.8583","40.8583","83.0390","41.5583","270","100 nF","TopLayer"
"C73A","C_0603","82.1190","82.1191","60.8584","60.8583","82.1191","61.5583","270","100 nF","TopLayer"
"C72C","C_0603","81.7091","81.7090","20.3981","20.3981","81.7090","21.0981","270","100 nF","TopLayer"
"C72B","C_0603","81.7090","81.7090","40.8583","40.8583","81.7090","41.5583","270","100 nF","TopLayer"
"C72A","C_0603","80.7890","80.7890","60.8584","60.8583","80.7890","61.5583","270","100 nF","TopLayer"
"C3C","C_0603","45.4106","45.4106","9.6980","9.6980","45.4106","10.3980","270","100 nF","BottomLayer"
"C3B","C_0603","51.6280","51.6280","38.6060","38.6060","51.6280","39.3060","270","100 nF","BottomLayer"
"C3A","C_0603","55.1626","55.1626","72.7280","72.7280","55.1626","73.4280","270","100 nF","BottomLayer"
"C80C","C_0603","23.2800","23.2800","12.3601","12.3601","23.2800","13.0601","270","100 nF","BottomLayer"
"C80B","C_0603","23.3700","23.3700","41.9300","41.9300","23.3700","42.6300","270","100 nF","BottomLayer"
"C80A","C_0603","23.2200","23.2200","74.4100","74.4100","23.2200","75.1100","270","100 nF","BottomLayer"
"C69C","C_0603","79.4100","79.4100","7.4800","7.4800","79.4100","6.7800","90","100 nF","TopLayer"
"C69B","C_0603","79.4100","79.4100","27.9402","27.9402","79.4100","27.2402","90","100 nF","TopLayer"
"C69A","C_0603","78.4900","78.4899","47.9402","47.9402","78.4899","47.2402","90","100 nF","TopLayer"
"C68C","C_0603","80.8147","80.8147","7.4900","7.4900","80.8147","6.7900","90","100 nF","TopLayer"
"C68B","C_0603","80.8150","80.8150","27.9502","27.9502","80.8150","27.2502","90","100 nF","TopLayer"
"C68A","C_0603","79.8950","79.8950","47.9502","47.9502","79.8950","47.2502","90","100 nF","TopLayer"
"C67C","C_0603","78.8000","78.8000","15.9200","15.9200","78.8000","15.2200","90","100 nF","TopLayer"
"C67B","C_0603","78.8000","78.8000","36.3802","36.3802","78.8000","35.6802","90","100 nF","TopLayer"
"C67A","C_0603","77.8800","77.8800","56.3802","56.3802","77.8800","55.6802","90","100 nF","TopLayer"
"C66C","C_0603","76.2000","76.2000","15.9200","15.9200","76.2000","15.2200","90","100 nF","TopLayer"
"C66B","C_0603","76.2000","76.2000","36.3802","36.3802","76.2000","35.6802","90","100 nF","TopLayer"
"C66A","C_0603","75.2800","75.2800","56.3802","56.3802","75.2800","55.6802","90","100 nF","TopLayer"
"C65C","C_0603","78.1100","78.1100","7.4800","7.4800","78.1100","6.7800","90","2.2 uF","TopLayer"
