Altium Designer Pick and Place Locations
E:\UltraZohm\uz_d_inverter\Project Outputs for UZ_D_Inverter\Rev04\Pick Place\Pick_and_Place_UZ_D_Inverter_Variant_V1_Rev04.csv

========================================================================================================================
File Design Information:

Date:       12.09.24
Time:       10:43
Revision:   f9405017e2ca1ccabc85bbe90097023d5b81d0c4
Variant:    Variant_V1
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"U7C","2EDF7275KXUMA1","82.4750","82.4750","20.2500","20.2500","80.5250","22.3250","0","2EDF7275KXUMA2","TopLayer"
"U7B","2EDF7275KXUMA1","82.4750","82.4750","43.1250","43.1250","80.5250","45.2000","0","2EDF7275KXUMA2","TopLayer"
"U7A","2EDF7275KXUMA1","82.4750","82.4750","66.1250","66.1250","80.5250","68.2000","0","2EDF7275KXUMA2","TopLayer"
"R50","3921","109.0000","109.0000","59.2900","59.2900","104.8500","59.2900","0","2mR","TopLayer"
"R10C","3921","109.0000","109.0000","12.4900","12.4900","104.8500","12.4900","0","2mR","TopLayer"
"R10B","3921","109.0000","109.0000","29.2500","29.2500","104.8500","29.2500","0","2mR","TopLayer"
"R10A","3921","109.0000","109.0000","46.2100","46.2100","104.8500","46.2100","0","2mR","TopLayer"
"J2","634008149821","135.1650","132.6500","84.0000","84.0000","127.6600","80.4300","270","6339160-1","BottomLayer"
"J1","634008149821","135.1650","132.6500","88.6500","88.6500","127.6600","92.2200","90","6339160-1","TopLayer"
"C7","C_0603","44.5564","44.5564","62.7000","62.7000","43.8564","62.7000","0","2.2 uF","BottomLayer"
"C11B","C_0603","105.0000","105.0000","24.2000","24.2000","105.0000","24.9000","270","56 pF","BottomLayer"
"C83C","C_0603","112.0500","112.0500","5.6520","5.6520","111.3500","5.6520","0","100 nF","BottomLayer"
"C23C","C_0603","9.0685","9.0685","12.7235","12.7235","9.0685","13.4235","270","100 nF","BottomLayer"
"C6C","C_0603","104.0250","104.0250","4.8500","4.8500","103.3250","4.8500","0","100 nF","TopLayer"
"C6B","C_0603","104.2250","104.2250","22.9000","22.9000","103.5250","22.9000","0","100 nF","TopLayer"
"C6A","C_0603","104.3250","104.3250","39.6500","39.6500","103.6250","39.6500","0","100 nF","TopLayer"
"C4","C_0603","104.7250","104.7250","53.2750","53.2750","104.0250","53.2750","0","100 nF","TopLayer"
"C1","C_0603","1.9000","1.9000","39.0000","39.0000","2.6000","39.0000","180","100 nF","TopLayer"
"C99","C_0603","6.9200","6.9200","53.9700","53.9700","6.9200","53.2700","90","100 nF","TopLayer"
"C84","C_0603","114.9500","114.9500","74.0000","74.0000","114.9500","74.7000","270","100 nF","BottomLayer"
"C83B","C_0603","112.0500","112.0500","22.6750","22.6750","111.3500","22.6750","0","100 nF","BottomLayer"
"C83A","C_0603","112.0500","112.0500","40.5000","40.5000","111.3500","40.5000","0","100 nF","BottomLayer"
"C82C","C_0603","112.9000","112.9000","5.3250","5.3250","112.9000","4.6250","90","100 nF","TopLayer"
"C82B","C_0603","112.8750","112.8750","22.2000","22.2000","112.8750","21.5000","90","100 nF","TopLayer"
"C82A","C_0603","112.9500","112.9500","39.0000","39.0000","112.9500","38.3000","90","100 nF","TopLayer"
"C80","C_0603","113.0000","113.0000","51.7000","51.7000","113.0000","51.0000","90","100 nF","TopLayer"
"C73C","C_0603","78.5750","78.5750","14.2000","14.2000","78.5750","14.9000","270","100 nF","TopLayer"
"C73B","C_0603","78.6250","78.6250","36.9000","36.9000","78.6250","37.6000","270","100 nF","TopLayer"
"C73A","C_0603","78.7000","78.7000","60.3750","60.3750","78.7000","61.0750","270","100 nF","TopLayer"
"C72C","C_0603","77.3000","77.3000","14.2000","14.2000","77.3000","14.9000","270","100 nF","TopLayer"
"C72B","C_0603","77.3500","77.3500","36.9250","36.9250","77.3500","37.6250","270","100 nF","TopLayer"
"C72A","C_0603","77.4000","77.4000","60.3750","60.3750","77.4000","61.0750","270","100 nF","TopLayer"
"C3C","C_0603","109.4250","109.4250","16.7485","16.7485","108.7250","16.7485","0","100 nF","BottomLayer"
"C3B","C_0603","109.4250","109.4250","33.3750","33.3750","108.7250","33.3750","0","100 nF","BottomLayer"
"C3A","C_0603","109.4250","109.4250","50.4606","50.4606","108.7250","50.4606","0","100 nF","BottomLayer"
"C80C","C_0603","17.8750","17.8750","12.9500","12.9500","17.8750","13.6500","270","100 nF","BottomLayer"
"C80B","C_0603","18.0749","18.0749","22.7250","22.7250","18.0749","23.4250","270","100 nF","BottomLayer"
"C80A","C_0603","28.6808","28.6808","86.8361","86.8361","28.6808","87.5361","270","100 nF","BottomLayer"
"C69C","C_0603","86.3000","86.3000","19.1000","19.1000","87.0000","19.1000","180","100 nF","TopLayer"
"C69B","C_0603","86.3000","86.3000","42.3768","42.3768","87.0000","42.3768","180","100 nF","TopLayer"
"C69A","C_0603","86.3167","86.3167","67.8768","67.8768","87.0168","67.8768","180","100 nF","TopLayer"
"C68C","C_0603","86.3000","86.3000","21.4000","21.4000","87.0000","21.4000","180","100 nF","TopLayer"
"C68B","C_0603","86.3000","86.3000","44.6250","44.6250","87.0000","44.6250","180","100 nF","TopLayer"
"C68A","C_0603","86.3167","86.3168","65.5018","65.5018","87.0168","65.5018","180","100 nF","TopLayer"
"C67C","C_0603","79.2750","79.2750","18.9000","18.9000","79.2750","19.6000","270","100 nF","TopLayer"
"C67B","C_0603","79.2500","79.2500","41.6750","41.6750","79.2500","42.3750","270","100 nF","TopLayer"
"C67A","C_0603","78.6990","78.6990","65.1250","65.1250","79.3990","65.1250","180","100 nF","TopLayer"
"C66C","C_0603","76.9000","76.9000","18.9000","18.9000","76.9000","19.6000","270","100 nF","TopLayer"
"C66B","C_0603","76.9000","76.9000","41.6500","41.6500","76.9000","42.3500","270","100 nF","TopLayer"
"C66A","C_0603","78.6990","78.6990","66.2750","66.2750","79.3990","66.2750","180","100 nF","TopLayer"
"C65C","C_0603","86.3000","86.3000","20.2750","20.2750","87.0000","20.2750","180","4.7 uF","TopLayer"
"C65B","C_0603","86.3000","86.3000","43.5020","43.5020","87.0000","43.5020","180","4.7 uF","TopLayer"
"C65A","C_0603","86.3167","86.3167","66.6768","66.6768","87.0167","66.6768","180","4.7 uF","TopLayer"
"C64C","C_0603","78.1250","78.1250","18.9250","18.9250","78.1250","19.6250","270","4.7 uF","TopLayer"
"C64B","C_0603","78.0500","78.0500","41.6750","41.6750","78.0500","42.3750","270","4.7 uF","TopLayer"
"C64A","C_0603","78.6750","78.6750","67.4500","67.4500","79.3750","67.4500","180","4.7 uF","TopLayer"
"C2","C_0603","111.1000","111.1000","82.0500","82.0500","110.4000","82.0500","0","100 nF","BottomLayer"
"C59","C_0603","51.4050","51.4051","87.2100","87.2100","51.4051","87.9100","270","100 nF","BottomLayer"
"C58","C_0603","110.8920","110.8920","75.2380","75.2380","110.1920","75.2380","0","100 nF","BottomLayer"
"C57","C_0603","42.4500","42.4500","87.1500","87.1500","42.4500","87.8500","270","100 nF","BottomLayer"
"C56","C_0603","41.6350","41.6350","92.2700","92.2700","40.9350","92.2700","0","56 pF","BottomLayer"
"C55","C_0603","52.4350","52.4350","92.2700","92.2700","51.7351","92.2700","0","56 pF","BottomLayer"
"C51","C_0603","117.4450","117.4450","78.7050","78.7050","117.4450","78.0050","90","56 pF","BottomLayer"
"C50","C_0603","104.7450","104.7450","78.7050","78.7050","104.7450","79.4050","270","56 pF","BottomLayer"
"C26C","C_0603","78.1500","78.1500","21.8250","21.8250","78.1500","22.5250","270","10nF","TopLayer"
"C26B","C_0603","79.0250","79.0250","44.5750","44.5750","79.0250","45.2750","270","10nF","TopLayer"
"C26A","C_0603","82.4500","82.4500","71.0500","71.0501","81.7500","71.0501","0","10nF","TopLayer"
"C25C","C_0603","79.3000","79.3001","21.8250","21.8250","79.3001","22.5250","270","10nF","TopLayer"
"C25B","C_0603","77.9750","77.9750","44.5750","44.5750","77.9750","45.2750","270","10nF","TopLayer"
"C25A","C_0603","82.4250","82.4250","69.7500","69.7501","81.7250","69.7501","0","10nF","TopLayer"
"C24C","C_0603","109.1750","109.1750","8.1000","8.1000","108.4750","8.1000","0","100 nF","BottomLayer"
"C24B","C_0603","109.4270","109.4270","24.6230","24.6230","108.7270","24.6230","0","100 nF","BottomLayer"
"C24A","C_0603","109.4270","109.4270","41.9500","41.9500","108.7270","41.9500","0","100 nF","BottomLayer"
"C23B","C_0603","8.9750","8.9750","22.7000","22.7000","8.9750","23.4000","270","100 nF","BottomLayer"
"C23A","C_0603","19.8994","19.8994","87.1500","87.1500","19.8994","87.8500","270","100 nF","BottomLayer"
"C19C","C_0603","42.6000","42.6000","47.0500","47.0500","42.6000","46.3500","90","100 nF","BottomLayer"
"C19B","C_0603","12.5550","12.5550","47.0500","47.0500","12.5550","46.3500","90","100 nF","BottomLayer"
"C19A","C_0603","10.5750","10.5750","75.4000","75.4000","10.5750","74.7000","90","100 nF","BottomLayer"
"C18C","C_0603","48.2250","48.2250","46.0000","46.0000","48.2250","45.3000","90","10nF","BottomLayer"
"C18B","C_0603","18.3250","18.3250","46.0000","46.0000","18.3250","45.3000","90","10nF","BottomLayer"
